,date,mad_score_ruonia,mad_score_spread,flag_end_period,MAD_score_rate_spread,MAD_score_cover,Flag_Demand,MAD_score_repo_volume,Tax_Week_Flag,End_of_Month_Flag,End_of_Quarter_Flag,Seasonal_Factor,MAD_score_yield_spread,Flag_Nedospros,Flag_Perespros,MAD_score_CBR,MAD_score_Roskazna,Flag_Budget_Drain,Flag_Treasury_Placement_Drop,MAD_score_cover_m3
10,2021-01-11,-3.03030303030303,1.703488372092971,1.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-4.615884318291087,0.0,0.0,0.0,0.0,False,False,1.7361453453683444
11,2021-01-12,-3.12121212121212,1.703488372092971,1.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-4.615884318291087,0.0,0.0,0.0,0.0,False,False,1.7361453453683444
12,2021-01-13,-3.070707070707069,-1.2558139534883437,1.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-2.758662124768708,1.0,0.0,0.0,0.0,False,False,-0.766198155915334
13,2021-01-14,-3.060606060606059,-1.2558139534883437,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-2.758662124768708,0.0,0.0,0.0,0.0,False,False,-0.766198155915334
14,2021-01-15,-3.0505050505050493,-1.2558139534883437,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-2.7443154080087635,0.0,0.0,0.0,0.0,False,False,-0.7652773095241472
15,2021-01-16,-3.0505050505050493,-1.2558139534883437,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-2.7443154080087635,0.0,0.0,0.0,0.0,False,False,-0.7652773095241472
16,2021-01-17,-3.0505050505050493,-1.2558139534883437,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-2.7443154080087635,0.0,0.0,0.0,0.0,False,False,-0.7652773095241472
17,2021-01-18,-2.989898989898989,-1.2558139534883437,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-2.7443154080087635,0.0,0.0,0.0,0.0,False,False,-0.7652773095241472
18,2021-01-19,-2.989898989898989,-1.2590361445782947,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-2.7443154080087635,0.0,0.0,0.0,0.0,False,False,-0.7652773095241472
19,2021-01-20,-2.9797979797979792,-1.2590361445782947,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-1.17854509871724,0.0,0.0,0.0,0.0,False,False,0.6496550580953583
20,2021-01-21,-2.939393939393939,-1.2590361445782947,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-1.17854509871724,0.0,0.0,0.0,0.0,False,False,0.6496550580953583
21,2021-01-22,-2.9800000000000004,-1.2590361445782947,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-1.024672464815127,0.0,0.0,0.0,0.0,False,False,0.6539026522440002
22,2021-01-23,-2.9800000000000004,-1.2590361445782947,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-1.024672464815127,0.0,0.0,0.0,0.0,False,False,0.6539026522440002
23,2021-01-24,-2.9800000000000004,-1.2590361445782947,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-1.024672464815127,0.0,0.0,0.0,0.0,False,False,0.6539026522440002
24,2021-01-25,-2.9800000000000004,-1.2590361445782947,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-1.024672464815127,0.0,0.0,0.0,0.0,False,False,0.6539026522440002
25,2021-01-26,-2.9000000000000004,-1.2590361445782947,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-1.024672464815127,0.0,0.0,0.0,0.0,False,False,0.6539026522440002
26,2021-01-27,-3.0,-1.2590361445782947,0.0,0.0,0.0,False,0.0,1,0,0,1.2609349934800678,-4.462303067403276,1.0,0.0,0.0,0.0,False,False,-0.6169021325354053
